County,Year,Value
MERCED,2002,6243835
MERCED,2003,6773718
MERCED,2004,7387247
MERCED,2005,7706492
MERCED,2006,7547300
MERCED,2007,8411584
MERCED,2008,7401381
MERCED,2009,7113678
MERCED,2010,7257104
MERCED,2011,7459433
MERCED,2012,7302553
MERCED,2013,7569363
MERCED,2014,8309865
MERCED,2015,8436760
MERCED,2016,8462554
MERCED,2017,9012107
MERCED,2018,8994225
MODOC,2001,254132
MODOC,2002,317061
MODOC,2003,293681
MODOC,2004,276198
MODOC,2005,318992
MODOC,2006,319802
MODOC,2007,310278
MODOC,2008,366867
MODOC,2009,399660
MODOC,2010,374712
MODOC,2011,337664
MODOC,2012,305295
MODOC,2013,309876
MODOC,2014,326281
MODOC,2015,354063
MODOC,2016,377226
MODOC,2017,357793
MODOC,2018,373250
MONO,2001,832202
MONO,2002,902969
MONO,2003,946526
MONO,2004,908522
MONO,2005,1001878
MONO,2006,941488
MONO,2007,893660
MONO,2008,911651
MONO,2009,896008
MONO,2010,951966
MONO,2011,960143
MONO,2012,894203
MONO,2013,896446
MONO,2014,882669
MONO,2015,878548
MONO,2016,910508
MONO,2017,1027563
MONO,2018,957625
MONTEREY,2001,21016429
MONTEREY,2002,22188403
MONTEREY,2003,22130781
MONTEREY,2004,19859471
MONTEREY,2005,20305925
MONTEREY,2006,21769566
MONTEREY,2007,20775170
MONTEREY,2008,20448397
MONTEREY,2009,21833524
MONTEREY,2010,21336279
MONTEREY,2011,20088899
MONTEREY,2012,20853659
MONTEREY,2013,22080506
MONTEREY,2014,22452847
MONTEREY,2015,24189253
MONTEREY,2016,24813563
MONTEREY,2017,25122789
MONTEREY,2018,25923751
NAPA,2001,7232664
NAPA,2002,7612863
NAPA,2003,7665926
NAPA,2004,7578715
NAPA,2005,7945388
NAPA,2006,7938732
NAPA,2007,8094511
NAPA,2008,8168828
NAPA,2009,7980773
NAPA,2010,7851423
NAPA,2011,7726578
NAPA,2012,8194992
NAPA,2013,8549080
NAPA,2014,9117420
NAPA,2015,9516543
NAPA,2016,9691673
NAPA,2017,9870652
NAPA,2018,9898897
NEVADA,2001,3131732
NEVADA,2002,3324810
NEVADA,2003,3359521
NEVADA,2004,3335338
NEVADA,2005,3423585
NEVADA,2006,3501326
NEVADA,2007,3529588
NEVADA,2008,3568920
NEVADA,2009,3631194
NEVADA,2010,3805667
NEVADA,2011,3852774
NEVADA,2012,3763288
NEVADA,2013,3882801
NEVADA,2014,3750278
NEVADA,2015,3791590
NEVADA,2016,3874263
NEVADA,2017,3940019
NEVADA,2018,3896864
ORANGE,2001,159069691
ORANGE,2002,163346954
ORANGE,2003,174105993
ORANGE,2004,182444486
ORANGE,2005,192103881
ORANGE,2006,199329661
ORANGE,2007,198364936
ORANGE,2008,192391707
ORANGE,2009,182377795
ORANGE,2010,188714925
ORANGE,2011,187813332
ORANGE,2012,193903242
ORANGE,2013,197450269
ORANGE,2014,199942356
ORANGE,2015,207221949
ORANGE,2016,211288031
ORANGE,2017,220075102
ORANGE,2018,226110295
PLACER,2001,11868187
PLACER,2002,12626379
PLACER,2003,13787422
PLACER,2004,14614152
PLACER,2005,15490891
PLACER,2006,15844888
PLACER,2007,15699190
PLACER,2008,15553475
PLACER,2009,15391609
PLACER,2010,15811099
PLACER,2011,16028620
PLACER,2012,16712164
PLACER,2013,17249785
PLACER,2014,17636188
PLACER,2015,18672919
PLACER,2016,19475977
PLACER,2017,19894372
PLACER,2018,20911650
PLUMAS,2001,936169
PLUMAS,2002,1020486
PLUMAS,2003,1106309
PLUMAS,2004,1069464
PLUMAS,2005,1039048
PLUMAS,2006,1133080
PLUMAS,2007,977953
PLUMAS,2008,1008752
PLUMAS,2009,1019726
PLUMAS,2010,1062797
PLUMAS,2011,1112325
PLUMAS,2012,894393
PLUMAS,2013,832963
PLUMAS,2014,860931
PLUMAS,2015,842431
PLUMAS,2016,908021
PLUMAS,2017,1006000
PLUMAS,2018,940398
RIVERSIDE,2001,47261277
RIVERSIDE,2002,50270437
RIVERSIDE,2003,53832974
RIVERSIDE,2004,58028997
RIVERSIDE,2005,62151408
RIVERSIDE,2006,65233258
RIVERSIDE,2007,65847956
RIVERSIDE,2008,63951266
RIVERSIDE,2009,61188571
RIVERSIDE,2010,63069973
RIVERSIDE,2011,64340242
RIVERSIDE,2012,64092535
RIVERSIDE,2013,66781669
RIVERSIDE,2014,68486039
RIVERSIDE,2015,71546357
RIVERSIDE,2016,73019473
RIVERSIDE,2017,75327830
RIVERSIDE,2018,78156440
SACRAMENTO,2001,61242909
SACRAMENTO,2002,62747473
SACRAMENTO,2003,65383775
SACRAMENTO,2004,67410369
SACRAMENTO,2005,70866317
SACRAMENTO,2006,73101669
SACRAMENTO,2007,73877100
SACRAMENTO,2008,73234536
SACRAMENTO,2009,70334338
SACRAMENTO,2010,68514126
SACRAMENTO,2011,69591146
SACRAMENTO,2012,69783186
SACRAMENTO,2013,71528635
SACRAMENTO,2014,73001224
SACRAMENTO,2015,75373407
SACRAMENTO,2016,75648213
SACRAMENTO,2017,77961074
SACRAMENTO,2018,80936234
SAN BENITO,2001,1557910
SAN BENITO,2002,1641521
SAN BENITO,2003,1767477
SAN BENITO,2004,1778545
SAN BENITO,2005,1811714
SAN BENITO,2006,1942525
SAN BENITO,2007,1874416
SAN BENITO,2008,1745289
SAN BENITO,2009,1758208
SAN BENITO,2010,1786455
SAN BENITO,2011,1780332
SAN BENITO,2012,1776562
SAN BENITO,2013,1761947
SAN BENITO,2014,1834645
SAN BENITO,2015,1944208
SAN BENITO,2016,1971059
SAN BENITO,2017,2075377
SAN BENITO,2018,2115616
SAN BERNARDINO,2001,54438197
SAN BERNARDINO,2002,56551989
SAN BERNARDINO,2003,60222196
SAN BERNARDINO,2004,64061068
SAN BERNARDINO,2005,67680495
SAN BERNARDINO,2006,70059888
SAN BERNARDINO,2007,71543167
SAN BERNARDINO,2008,70080880
SAN BERNARDINO,2009,65776415
SAN BERNARDINO,2010,66305774
SAN BERNARDINO,2011,67336498
SAN BERNARDINO,2012,67620205
SAN BERNARDINO,2013,69149978
SAN BERNARDINO,2014,71474503
SAN BERNARDINO,2015,74181095
SAN BERNARDINO,2016,75877075
SAN BERNARDINO,2017,78146465
SAN BERNARDINO,2018,80460743
SAN DIEGO,2001,142064204
SAN DIEGO,2002,148243518
SAN DIEGO,2003,155870562
SAN DIEGO,2004,164695156
SAN DIEGO,2005,173137412
SAN DIEGO,2006,177089324
SAN DIEGO,2007,179912955
SAN DIEGO,2008,178717613
SAN DIEGO,2009,171102638
SAN DIEGO,2010,173540455
SAN DIEGO,2011,176546834
SAN DIEGO,2012,178241243
SAN DIEGO,2013,184862880
SAN DIEGO,2014,189967417
SAN DIEGO,2015,195600126
SAN DIEGO,2016,197159662
SAN DIEGO,2017,203932550
SAN DIEGO,2018,209426148
SAN FRANCISO,2001,89414724
SAN FRANCISO,2002,84237702
SAN FRANCISO,2003,82871760
SAN FRANCISO,2004,82046285
SAN FRANCISO,2005,86324242
SAN FRANCISO,2006,89587043
SAN FRANCISO,2007,92046938
SAN FRANCISO,2008,91593484
SAN FRANCISO,2009,92525391
SAN FRANCISO,2010,95335782
SAN FRANCISO,2011,101707928
SAN FRANCISO,2012,111136403
SAN FRANCISO,2013,115524154
SAN FRANCISO,2014,124202474
SAN FRANCISO,2015,133070744
SAN FRANCISO,2016,143841023
SAN FRANCISO,2017,155258114
SAN FRANCISO,2018,166716731
SAN JOAQUIN,2001,20845747
SAN JOAQUIN,2002,21745960
SAN JOAQUIN,2003,22712507
SAN JOAQUIN,2004,23637259
SAN JOAQUIN,2005,24941209
SAN JOAQUIN,2006,24375319
SAN JOAQUIN,2007,24328025
SAN JOAQUIN,2008,23587642
SAN JOAQUIN,2009,23369038
SAN JOAQUIN,2010,22783980
SAN JOAQUIN,2011,22580295
SAN JOAQUIN,2012,22741180
SAN JOAQUIN,2013,23522989
SAN JOAQUIN,2014,24174906
SAN JOAQUIN,2015,25314877
SAN JOAQUIN,2016,25837363
SAN JOAQUIN,2017,26787016
SAN JOAQUIN,2018,27808462
SAN LUIS OBISPO,2001,10995612
SAN LUIS OBISPO,2002,12163440
SAN LUIS OBISPO,2003,12419563
SAN LUIS OBISPO,2004,12489631
SAN LUIS OBISPO,2005,12899462
SAN LUIS OBISPO,2006,13148423
SAN LUIS OBISPO,2007,13050741
SAN LUIS OBISPO,2008,12574056
SAN LUIS OBISPO,2009,12426976
SAN LUIS OBISPO,2010,13053432
SAN LUIS OBISPO,2011,13263375
SAN LUIS OBISPO,2012,13543650
SAN LUIS OBISPO,2013,14001696
SAN LUIS OBISPO,2014,14213934
SAN LUIS OBISPO,2015,14945906
SAN LUIS OBISPO,2016,15194948
SAN LUIS OBISPO,2017,15449070
SAN LUIS OBISPO,2018,15808438
SAN MATEO,2001,53500777
SAN MATEO,2002,50827524
SAN MATEO,2003,51911354
SAN MATEO,2004,53673107
SAN MATEO,2005,55070047
SAN MATEO,2006,57884093
SAN MATEO,2007,58759178
SAN MATEO,2008,58941727
SAN MATEO,2009,59857406
SAN MATEO,2010,61063885
SAN MATEO,2011,63589632
SAN MATEO,2012,77479232
SAN MATEO,2013,81182144
SAN MATEO,2014,85736897
SAN MATEO,2015,91090406
SAN MATEO,2016,100239588
SAN MATEO,2017,113829269
SAN MATEO,2018,119797765
SANTA BARBARA,2001,17976028
SANTA BARBARA,2002,18690777
SANTA BARBARA,2003,19398289
SANTA BARBARA,2004,20025671
SANTA BARBARA,2005,20830418
SANTA BARBARA,2006,21164197
SANTA BARBARA,2007,21554565
SANTA BARBARA,2008,22045791
SANTA BARBARA,2009,22573538
SANTA BARBARA,2010,22375651
SANTA BARBARA,2011,22434007
SANTA BARBARA,2012,22959581
SANTA BARBARA,2013,23302304
SANTA BARBARA,2014,23807041
SANTA BARBARA,2015,24986874
SANTA BARBARA,2016,25172214
SANTA BARBARA,2017,25885092
SANTA BARBARA,2018,26938329
SANTA CLARA,2001,114240305
SANTA CLARA,2002,109019161
SANTA CLARA,2003,115437821
SANTA CLARA,2004,119997208
SANTA CLARA,2005,127598015
SANTA CLARA,2006,137304412
SANTA CLARA,2007,150769852
SANTA CLARA,2008,159809232
SANTA CLARA,2009,156929380
SANTA CLARA,2010,171187339
SANTA CLARA,2011,184636019
SANTA CLARA,2012,191886859
SANTA CLARA,2013,209953840
SANTA CLARA,2014,225459236
SANTA CLARA,2015,246071930
SANTA CLARA,2016,262013456
SANTA CLARA,2017,282946368
SANTA CLARA,2018,306691667
SANTA CRUZ,2001,11107335
SANTA CRUZ,2002,11059671
SANTA CRUZ,2003,11296439
SANTA CRUZ,2004,10968240
SANTA CRUZ,2005,10970409
SANTA CRUZ,2006,10903485
SANTA CRUZ,2007,10879880
SANTA CRUZ,2008,10945744
SANTA CRUZ,2009,11211955
SANTA CRUZ,2010,12108628
SANTA CRUZ,2011,11922969
SANTA CRUZ,2012,11705257
SANTA CRUZ,2013,12049144
SANTA CRUZ,2014,12299320
SANTA CRUZ,2015,12360508
SANTA CRUZ,2016,12597030
SANTA CRUZ,2017,12786326
SANTA CRUZ,2018,13243490
SHASTA,2001,6169069
SHASTA,2002,6828720
SHASTA,2003,6990059
SHASTA,2004,6835467
SHASTA,2005,6673441
SHASTA,2006,6944835
SHASTA,2007,6711445
SHASTA,2008,6482525
SHASTA,2009,6401035
SHASTA,2010,6603832
SHASTA,2011,6742107
SHASTA,2012,6459544
SHASTA,2013,6433711
SHASTA,2014,6529553
SHASTA,2015,6622382
SHASTA,2016,6931422
SHASTA,2017,7437919
SHASTA,2018,7219547
SIERRA,2001,106591
SIERRA,2002,104408
SIERRA,2003,101894
SIERRA,2004,95881
SIERRA,2005,99555
SIERRA,2006,99837
SIERRA,2007,99626
SIERRA,2008,95975
SIERRA,2009,94524
SIERRA,2010,97175
SIERRA,2011,91803
SIERRA,2012,84695
SIERRA,2013,82572
SIERRA,2014,78288
SIERRA,2015,76371
SIERRA,2016,81735
SIERRA,2017,82019
SIERRA,2018,84198
SISKIYOU,2001,1420010
SISKIYOU,2002,1570715
SISKIYOU,2003,1481219
SISKIYOU,2004,1449353
SISKIYOU,2005,1419893
SISKIYOU,2006,1481254
SISKIYOU,2007,1351355
SISKIYOU,2008,1452987
SISKIYOU,2009,1333683
SISKIYOU,2010,1314907
SISKIYOU,2011,1435679
SISKIYOU,2012,1382695
SISKIYOU,2013,1349869
SISKIYOU,2014,1403426
SISKIYOU,2015,1518671
SISKIYOU,2016,1572563
SISKIYOU,2017,1546848
SISKIYOU,2018,1563467
SOLANO,2001,15161616
SOLANO,2002,15192397
SOLANO,2003,15822315
SOLANO,2004,15935478
SOLANO,2005,16459623
SOLANO,2006,16685004
SOLANO,2007,17313929
SOLANO,2008,18807876
SOLANO,2009,18152088
SOLANO,2010,18160240
SOLANO,2011,17507200
SOLANO,2012,18973888
SOLANO,2013,19880720
SOLANO,2014,20029280
SOLANO,2015,20203318
SOLANO,2016,20619199
SOLANO,2017,20899701
SOLANO,2018,21944195
SONOMA,2001,20912833
SONOMA,2002,21717359
SONOMA,2003,21512326
SONOMA,2004,21456093
SONOMA,2005,21821595
SONOMA,2006,22033382
SONOMA,2007,22409403
SONOMA,2008,22250970
SONOMA,2009,21430364
SONOMA,2010,22072212
SONOMA,2011,22434452
SONOMA,2012,22779964
SONOMA,2013,23247064
SONOMA,2014,24074511
SONOMA,2015,25156011
SONOMA,2016,25745062
SONOMA,2017,26325465
SONOMA,2018,27565642
STANISLAUS,2001,15758116
STANISLAUS,2002,16343835
STANISLAUS,2003,16884980
STANISLAUS,2004,17801108
STANISLAUS,2005,18454602
STANISLAUS,2006,18816584
STANISLAUS,2007,18559634
STANISLAUS,2008,17973134
STANISLAUS,2009,17821608
STANISLAUS,2010,17931977
STANISLAUS,2011,17858181
STANISLAUS,2012,17532238
STANISLAUS,2013,17659094
STANISLAUS,2014,18740179
STANISLAUS,2015,19371931
STANISLAUS,2016,19623484
STANISLAUS,2017,20632799
STANISLAUS,2018,21234213
SUTTER,2001,2488890
SUTTER,2002,2976734
SUTTER,2003,2968013
SUTTER,2004,2990055
SUTTER,2005,2875284
SUTTER,2006,3079761
SUTTER,2007,3206769
SUTTER,2008,3506819
SUTTER,2009,3710181
SUTTER,2010,3433390
SUTTER,2011,3156254
SUTTER,2012,3007824
SUTTER,2013,3118528
SUTTER,2014,2951336
SUTTER,2015,3090283
SUTTER,2016,3065514
SUTTER,2017,3095179
SUTTER,2018,3307355
TEHAMA,2001,1456453
TEHAMA,2002,1535858
TEHAMA,2003,1556682
TEHAMA,2004,1614180
TEHAMA,2005,1705265
TEHAMA,2006,1617622
TEHAMA,2007,1636143
TEHAMA,2008,1535203
TEHAMA,2009,1534971
TEHAMA,2010,1624583
TEHAMA,2011,1589629
TEHAMA,2012,1586278
TEHAMA,2013,1654011
TEHAMA,2014,1625529
TEHAMA,2015,1624161
TEHAMA,2016,1668083
TEHAMA,2017,1882273
TEHAMA,2018,1885606
TRINITY,2001,295713
TRINITY,2002,328533
TRINITY,2003,348282
TRINITY,2004,337076
TRINITY,2005,315984
TRINITY,2006,330465
TRINITY,2007,326969
TRINITY,2008,319574
TRINITY,2009,303278
TRINITY,2010,345663
TRINITY,2011,362240
TRINITY,2012,345985
TRINITY,2013,349294
TRINITY,2014,337552
TRINITY,2015,322630
TRINITY,2016,337006
TRINITY,2017,371527
TRINITY,2018,359579
TULARE,2001,11404310
TULARE,2002,10612079
TULARE,2003,11130967
TULARE,2004,12305193
TULARE,2005,13480674
TULARE,2006,12735501
TULARE,2007,14166537
TULARE,2008,13386175
TULARE,2009,12301799
TULARE,2010,13544945
TULARE,2011,13997042
TULARE,2012,13289971
TULARE,2013,13590002
TULARE,2014,15191202
TULARE,2015,15187770
TULARE,2016,16100787
TULARE,2017,16847054
TULARE,2018,17063694
TUOLUMME,2001,1868002
TUOLUMME,2002,2174628
TUOLUMME,2003,2188900
TUOLUMME,2004,2193883
TUOLUMME,2005,2197701
TUOLUMME,2006,2250976
TUOLUMME,2007,2178702
TUOLUMME,2008,2115746
TUOLUMME,2009,2133845
TUOLUMME,2010,2247444
TUOLUMME,2011,2385930
TUOLUMME,2012,2066149
TUOLUMME,2013,2053371
TUOLUMME,2014,1999413
