Disease,County,Year,MALE,FEMALE
Amebiasis,LASSEN,2004,0,0
Amebiasis,LASSEN,2005,0,0
Amebiasis,LASSEN,2006,0,0
Amebiasis,LASSEN,2007,0,0
Amebiasis,LASSEN,2008,0,0
Amebiasis,LASSEN,2009,0,0
Amebiasis,LASSEN,2010,0,0
Amebiasis,LASSEN,2011,0,0
Amebiasis,LASSEN,2012,,
Amebiasis,LASSEN,2013,0,0
Amebiasis,LASSEN,2014,0,0
Amebiasis,LASSEN,2015,0,0
Amebiasis,LASSEN,2016,0,0
Amebiasis,LASSEN,2017,0,0
Amebiasis,LASSEN,2018,0,0
Amebiasis,LOS ANGELES,2001,93,54
Amebiasis,LOS ANGELES,2002,65,54
Amebiasis,LOS ANGELES,2003,75,60
Amebiasis,LOS ANGELES,2004,81,42
Amebiasis,LOS ANGELES,2005,78,43
Amebiasis,LOS ANGELES,2006,64,43
Amebiasis,LOS ANGELES,2007,79,57
Amebiasis,LOS ANGELES,2008,60,59
Amebiasis,LOS ANGELES,2009,84,37
Amebiasis,LOS ANGELES,2010,85,46
Amebiasis,LOS ANGELES,2011,56,38
Amebiasis,LOS ANGELES,2012,79,32
Amebiasis,LOS ANGELES,2013,66,13
Amebiasis,LOS ANGELES,2014,58,17
Amebiasis,LOS ANGELES,2015,59,17
Amebiasis,LOS ANGELES,2016,70,19
Amebiasis,LOS ANGELES,2017,54,18
Amebiasis,LOS ANGELES,2018,56,20
Amebiasis,MADERA,2001,0,0
Amebiasis,MADERA,2002,0,0
Amebiasis,MADERA,2003,0,0
Amebiasis,MADERA,2004,0,0
Amebiasis,MADERA,2005,0,0
Amebiasis,MADERA,2006,0,1
Amebiasis,MADERA,2007,0,0
Amebiasis,MADERA,2008,0,0
Amebiasis,MADERA,2009,0,0
Amebiasis,MADERA,2010,0,0
Amebiasis,MADERA,2011,0,0
Amebiasis,MADERA,2012,0,0
Amebiasis,MADERA,2013,0,0
Amebiasis,MADERA,2014,2,0
Amebiasis,MADERA,2015,0,0
Amebiasis,MADERA,2016,1,0
Amebiasis,MADERA,2017,0,0
Amebiasis,MADERA,2018,1,0
Amebiasis,MARIN,2001,0,0
Amebiasis,MARIN,2002,0,0
Amebiasis,MARIN,2003,0,0
